ontology	Ontology_Strength	DSI1	DSI2	DSI3	DSI4	DSI5	DSI6	DSI7	DSI8	DSI9	DSI10	DSI11	DSI12	DSI13	DSI14	DSI15	DSI16	DSI17	DSI18	DSI19	DSI20	DSI21	DSI22	DSI23	DSI24	DSI25	DSI26	DSI27	DSI28	DSI29	DSI30	DSI31	DSI32	DSI33	DSI34	DSI35	DSI36	DSI37	DSI38	DSI39	DSI40
americanResidents	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
barackObama	1	1	0	3	0	4	0	0	3	0	0	8	2	6	2	1	0	4	0	7	1	7	4	2	7	1	8	0	5	0	0	0	5	3	0	2	0	0	0	4	0
business	0.111111111	0	0	0	10	0	4	30	4	5	0	0	0	3	32	0	4	0	0	12	0	1	1	4	0	22	1	0	0	1	0	8	42	0	0	1	0	4	1	0	12
economy	0.125	0	1	8	6	7	3	10	4	17	0	0	12	0	9	8	0	6	4	11	0	2	0	0	5	17	1	0	7	2	4	2	7	25	0	2	7	4	1	0	3
election	0.5	1	0	1	0	2	0	0	1	4	1	4	0	5	10	0	4	7	2	10	0	2	10	2	0	7	8	0	1	0	3	0	3	2	0	1	0	1	1	0	1
energy	0.142857143	0	1	9	0	4	0	1	6	2	0	0	0	0	0	0	0	5	0	31	17	32	0	0	27	7	0	0	24	0	3	0	1	4	0	0	0	0	0	0	0
foreignAreas	0.166666667	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	10	1	0	0	1	0	0	25	0	0	0	0	3	0
foreignConcepts	0.071428571	7	0	7	2	2	0	9	12	0	1	0	1	0	0	2	0	3	1	3	4	12	0	0	0	2	0	6	4	0	1	48	4	4	6	0	0	16	0	0	3
foreignCountry	0.25	0	2	1	0	0	0	1	2	3	0	0	0	3	0	0	0	0	0	0	0	40	2	0	0	1	0	0	0	0	0	13	0	0	0	0	0	19	31	0	0
foreignEngagements	0.333333333	0	12	2	0	0	0	0	2	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	7	0	0
govAppointedRole	0.076923077	1	1	12	3	3	3	1	1	5	39	5	4	4	14	2	7	8	4	4	9	6	2	2	7	38	13	35	5	3	5	14	1	5	14	11	3	4	6	34	5
govElectedRole	0.125	14	14	3	23	10	26	14	15	11	17	19	21	31	83	15	5	39	16	26	19	18	27	24	18	83	40	5	11	7	17	2	10	13	16	15	4	12	4	3	29
government	0.2	4	6	5	0	3	1	0	2	5	0	1	3	4	11	5	2	6	3	8	8	14	4	3	4	14	9	5	6	6	4	1	2	10	1	1	2	5	2	0	0
governmentActions	0.083333333	3	0	4	6	4	2	5	5	9	3	3	38	2	4	14	1	10	5	9	11	3	5	1	30	48	3	10	18	13	2	0	6	3	10	3	4	2	3	22	12
healthcare	0.25	0	0	2	4	0	0	0	5	0	0	0	7	0	0	1	0	4	0	0	0	0	0	0	0	92	0	0	0	0	0	0	7	0	0	11	0	0	0	0	23
hillaryClinton	0.5	0	0	0	0	0	1	0	0	2	0	1	0	1	0	0	31	2	0	1	0	3	3	0	0	0	4	0	0	1	0	0	0	0	0	0	1	0	0	0	0
internetPrivacy	0.090909091	1	0	0	1	0	0	0	0	0	0	2	0	6	0	0	2	0	0	0	0	1	3	3	0	4	4	8	0	59	0	0	0	0	0	1	0	2	0	0	0
media	0.25	0	5	0	0	0	2	1	0	0	0	1	0	6	0	2	0	0	3	0	1	0	1	8	0	2	8	0	0	0	0	0	0	0	6	2	0	0	0	0	0
mexico	0.2	0	2	4	1	1	0	13	10	9	0	1	1	0	2	41	0	6	31	4	0	3	1	0	3	11	0	0	0	0	39	2	1	10	0	1	0	1	0	0	1
nationalSecurity	0.2	3	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	20	3	0	0	4	0	0	3	0	2	0	0	10	0	0
party	0.2	0	1	0	3	5	0	1	5	4	34	1	6	2	0	6	1	5	11	1	1	1	11	0	0	11	2	0	1	0	1	0	0	1	0	24	0	0	0	23	6
russia	0.125	0	10	0	0	0	0	0	0	0	0	26	0	32	0	0	0	0	0	0	0	0	32	4	0	1	36	0	0	0	0	0	0	0	0	0	0	0	1	0	0
